time_val,ssr
2020-04-02,10915215.361218357
2020-04-03,23592266.768935174
2020-04-04,23641342.558818348
2020-04-05,22289605.890106358
2020-04-06,23375730.608310293
2020-04-07,23061473.357304
2020-04-08,17527101.82451375
2020-04-09,4050631.6289631147
2020-04-10,7865198.068917567
2020-04-11,22961169.33061295
2020-04-12,24998245.100149624
2020-04-13,24620275.420172196
2020-04-14,22511738.412735462
2020-04-15,23172539.618618555
2020-04-16,21745897.796926975
2020-04-17,22733440.445979625
2020-04-18,19039841.52319335
2020-04-19,17207248.211503234
2020-04-20,24104118.647628985
2020-04-21,25822632.272309966
2020-04-22,26723216.06560471
2020-04-23,26950944.950238034
2020-04-24,26744740.534851715
2020-04-25,26170037.205956645
2020-04-26,23817412.717258863
2020-04-27,24732202.660256628
2020-04-28,26207489.782446437
2020-04-29,26052513.603867993
2020-04-30,25882470.296816643
2020-05-01,25354690.31088005
2020-05-02,25394295.334294543
2020-05-03,23793305.311702214
2020-05-04,10564797.001877096
2020-05-05,25663781.68926706
2020-05-06,24930658.26671403
2020-05-07,5266764.141418969
2020-05-08,4210773.680160841
2020-05-09,18771216.14699071
2020-05-10,25013312.22862253
2020-05-11,20129410.156476807
2020-05-12,27301793.79896424
2020-05-13,23919869.190874614
2020-05-14,12700454.840565057
2020-05-15,25040863.549258698
2020-05-16,22051975.749619406
2020-05-17,26398627.069359854
2020-05-18,26230305.719848268
2020-05-19,27384017.271487802
2020-05-20,27031015.9758369
2020-05-21,26165301.82272231
2020-05-22,27525648.279133104
2020-05-23,23002926.800952144
2020-05-24,23132504.10581912
2020-05-25,24815287.11155007
2020-05-26,25799385.8455232
2020-05-27,27478724.93617463
2020-05-28,27494653.043417417
2020-05-29,22583199.65063552
2020-05-30,18006236.509952106
2020-05-31,26037446.47539509
2020-06-01,23941393.66012162
2020-06-02,23557827.618139967
2020-06-03,28266951.0
2020-06-04,27401236.846885405
2020-06-05,25730507.54393278
2020-06-06,26551881.290398538
2020-06-07,26608705.889210634
2020-06-08,22842354.26036948
2020-06-09,11551478.672159862
2020-06-10,25594903.38767664
2020-06-11,20543110.455404267
2020-06-12,24456689.45389495
2020-06-13,26228153.272923566
2020-06-14,28138665.16328784
2020-06-15,12782678.313088622
2020-06-16,10175634.59789122
2020-06-17,5642150.885086758
2020-06-18,10184674.874974964
2020-06-19,24145876.11796818
2020-06-20,26850210.434162047
2020-06-21,27001312.20827603
2020-06-22,22762283.23477061
2020-06-23,13605343.527709201
2020-06-24,22143669.988611653
2020-06-25,18597298.4354749
2020-06-26,12929905.682738144
2020-06-27,24944433.927032113
2020-06-28,17603298.44564815
2020-06-29,19377345.200986408
2020-06-30,21288718.070120566
2020-07-01,25674974.413275503
